
POINT_DATA 64
VECTORS bases float
 5.5 3.5 1.5
 3.0 0.5 10.5
 0.5 1.5 1.5
 4.5 5.0 4.5
 0.5 5.0 4.5
 2.5 3.5 9.0
 0.5 2.5 9.0
 1.5 4.5 3.0
 1.0 0.5 4.5
 3.5 0.5 3.0
 2.5 1.5 3.0
 3.5 2.5 9.0
 1.0 3.5 3.0
 5.5 4.5 15.0
 1.5 5.0 13.5
 2.5 1.0 10.5
 5.5 0.5 15.0
 1.5 0.5 3.0
 4.5 1.0 4.5
 1.0 0.5 16.5
 2.5 1.0 4.5
 1.0 5.5 9.0
 2.5 5.5 9.0
 3.0 2.5 10.5
 1.5 3.0 10.5
 5.0 3.5 3.0
 1.5 1.0 1.5
 1.0 1.5 3.0
 0.5 1.0 4.5
 1.0 1.5 9.0
 1.5 3.5 1.5
 3.5 3.0 7.5
 1.0 4.5 4.5
 1.5 5.0 7.5
 2.5 3.0 10.5
 4.5 2.5 3.0
 1.5 5.0 1.5
 3.0 3.5 1.5
 1.0 5.5 3.0
 0.5 5.5 1.5
 4.5 5.5 7.5
 5.0 0.5 16.5
 0.5 5.5 7.5
 1.0 2.5 4.5
 1.5 3.0 4.5
 0.5 2.5 3.0
 0.5 3.0 1.5
 3.0 1.5 7.5
 5.0 4.5 16.5
 1.5 4.5 15.0
 0.5 5.0 10.5
 0.5 1.5 7.5
 3.0 0.5 4.5
 5.0 1.5 3.0
 1.0 4.5 10.5
 2.5 5.5 15.0
 5.0 2.5 4.5
 1.5 1.0 13.5
 1.5 4.5 9.0
 2.5 1.0 16.5
 5.5 1.0 13.5
 4.5 5.0 10.5
 1.5 3.5 7.5
 1.0 3.5 9.0
VECTORS arrows float
 -0.00924403 -0.00367698 -0.00580355
 0.01062182 0.00146508 -0.00573418
 0.00535496 0.00662344 -0.00864447
 -0.02585888 -0.01238133 -0.00382719
 0.00277535 0.00770728 -0.00265882
 0.00685980 -0.00393140 0.01044870
 -0.01148190 0.00997493 -0.01697238
 0.00419021 0.00044911 0.00334176
 0.02226161 0.00934468 -0.01421183
 0.00175539 0.00132088 0.00727107
 0.00875803 0.00290194 0.00310993
 -0.00370050 0.00555387 0.01116639
 0.01884932 0.01453206 -0.00335930
 0.02752794 0.01230007 -0.00646622
 -0.01113030 -0.00715144 0.00870139
 0.00780928 0.00428660 -0.00763437
 -0.00230127 0.00056673 0.00397919
 0.00523753 0.01303061 -0.00442458
 -0.00643607 0.00044808 0.00705255
 -0.00612829 -0.00356114 -0.01438226
 0.00495481 0.00904868 -0.00054877
 0.00462373 -0.02055568 0.01108681
 -0.01296313 -0.00085750 0.01547078
 0.00681165 0.00367449 0.00448419
 0.00591413 0.00462268 0.00030436
 -0.02579593 -0.02196382 0.00411563
 0.00895749 0.00362705 0.00031973
 0.01820948 -0.01099051 -0.00150486
 0.01151939 0.01994840 -0.01527202
 0.01587509 -0.03136449 -0.01020126
 0.00614705 -0.00108845 0.00372706
 -0.00105932 0.00361260 0.01287933
 0.01145523 -0.00015053 -0.00193218
 -0.00411960 -0.00121277 0.01320125
 0.00452383 0.00511244 0.00430678
 -0.00431781 0.00419649 0.00661921
 0.00626118 -0.00115075 0.00370915
 0.00365890 -0.00156516 0.00822604
 0.00545794 -0.00230462 0.00270469
 0.00233744 0.00249191 0.00046342
 0.02306741 0.00613060 -0.00713175
 -0.00030157 0.00045810 0.00266364
 -0.00512535 -0.00123692 0.00363683
 0.01085651 0.00106619 -0.00164641
 0.01250341 0.00311063 0.00101528
 0.00339942 0.00249088 -0.00698687
 0.00520067 -0.00212117 -0.00517426
 -0.00153994 -0.00031171 0.00800511
 0.00786170 0.01674079 0.00419590
 -0.01658706 -0.00373284 0.00562186
 -0.00296520 0.00708809 -0.00338660
 -0.00333668 0.00509632 -0.02287951
 0.01260273 0.00109058 0.00067843
 -0.00882621 0.00363246 0.00492291
 0.00460668 0.00014126 -0.00233446
 -0.00261773 -0.00940633 0.01191425
 -0.00536854 0.00412075 0.00460588
 -0.00549315 -0.00442428 -0.00698771
 -0.01204877 0.00523934 0.00916771
 -0.00182253 -0.00323404 -0.00624086
 -0.00115997 0.00196018 0.00336397
 0.00303142 -0.00621659 0.00417106
 -0.00281985 -0.00121664 0.00666668
 0.01483861 0.02165597 -0.00516983
